Position,Coverage +,SPC +,T +,T + (close),pvalue +,padj +,Coverage -,SPC -,T -,T - (close),pvalue -,padj -
50,83,0,0.0099,0.0099,1.00e+00,1.00e+00,98,2,0.02,0.02,1.60e-01,1.00e+00
51,83,0,0.0099,0.0099,1.00e+00,1.00e+00,96,1,0.01,0.01,2.94e-01,1.00e+00
52,83,0,0.0099,0.0099,1.00e+00,1.00e+00,97,0,0.01,0.01,1.00e+00,1.00e+00
53,83,0,0.0099,0.0099,1.00e+00,1.00e+00,97,0,0.01,0.01,1.00e+00,1.00e+00
54,82,0,0.0099,0.0099,1.00e+00,1.00e+00,97,1,0.01,0.01,2.94e-01,1.00e+00
55,82,0,0.0099,0.0099,1.00e+00,1.00e+00,96,1,0.01,0.01,2.94e-01,1.00e+00
56,82,0,0.0099,0.0099,1.00e+00,1.00e+00,95,1,0.011,0.011,2.94e-01,1.00e+00
57,81,0,0.0099,0.0099,1.00e+00,1.00e+00,94,0,0.01,0.01,1.00e+00,1.00e+00
58,83,3,0.0099,0.0099,6.28e-02,1.00e+00,94,1,0.011,0.011,2.94e-01,1.00e+00
59,83,0,0.0099,0.0099,1.00e+00,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
60,83,0,0.0099,0.0099,1.00e+00,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
61,83,0,0.0099,0.0099,1.00e+00,1.00e+00,105,1,0.0095,0.0095,2.94e-01,1.00e+00
62,83,0,0.0099,0.0099,1.00e+00,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
63,84,1,0.0099,0.0099,2.65e-01,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
64,84,0,0.0099,0.0099,1.00e+00,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
65,83,0,0.0099,0.0099,1.00e+00,1.00e+00,111,1,0.009,0.009,2.94e-01,1.00e+00
66,83,0,0.0099,0.0099,1.00e+00,1.00e+00,110,0,0.01,0.01,1.00e+00,1.00e+00
67,84,1,0.0099,0.0099,2.65e-01,1.00e+00,110,0,0.01,0.01,1.00e+00,1.00e+00
68,82,0,0.0099,0.0099,1.00e+00,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
69,83,1,0.0099,0.0099,2.65e-01,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
70,82,1,0.0099,0.0099,2.65e-01,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
71,82,0,0.0099,0.0099,1.00e+00,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
72,82,0,0.0099,0.0099,1.00e+00,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
73,82,0,0.0099,0.0099,1.00e+00,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
74,84,2,0.0099,0.0099,1.22e-01,1.00e+00,111,0,0.01,0.01,1.00e+00,1.00e+00
75,84,0,0.0099,0.0099,1.00e+00,1.00e+00,111,2,0.018,0.018,1.60e-01,1.00e+00
76,84,0,0.0099,0.0099,1.00e+00,1.00e+00,110,0,0.01,0.01,1.00e+00,1.00e+00
77,84,0,0.0099,0.0099,1.00e+00,1.00e+00,110,1,0.0091,0.0091,2.94e-01,1.00e+00
78,84,0,0.0099,0.0099,1.00e+00,1.00e+00,109,1,0.0092,0.0092,2.94e-01,1.00e+00
79,85,1,0.0099,0.0099,2.65e-01,1.00e+00,108,0,0.01,0.01,1.00e+00,1.00e+00
80,85,0,0.0099,0.0099,1.00e+00,1.00e+00,108,0,0.01,0.01,1.00e+00,1.00e+00
81,85,0,0.0099,0.0099,1.00e+00,1.00e+00,109,0,0.01,0.01,1.00e+00,1.00e+00
82,85,0,0.0099,0.0099,1.00e+00,1.00e+00,109,2,0.018,0.018,1.60e-01,1.00e+00
83,84,0,0.0099,0.0099,1.00e+00,1.00e+00,108,1,0.0093,0.0093,2.94e-01,1.00e+00
84,77,0,0.0099,0.0099,1.00e+00,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
85,77,0,0.0099,0.0099,1.00e+00,1.00e+00,107,1,0.0093,0.0093,2.94e-01,1.00e+00
86,77,0,0.0099,0.0099,1.00e+00,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
87,75,0,0.0099,0.0099,1.00e+00,1.00e+00,106,2,0.019,0.019,1.60e-01,1.00e+00
88,75,0,0.0099,0.0099,1.00e+00,1.00e+00,105,1,0.0095,0.0095,2.94e-01,1.00e+00
89,76,1,0.0099,0.0099,2.65e-01,1.00e+00,104,0,0.01,0.01,1.00e+00,1.00e+00
90,76,0,0.0099,0.0099,1.00e+00,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
91,75,0,0.0099,0.0099,1.00e+00,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
92,75,1,0.0099,0.0099,2.65e-01,1.00e+00,105,0,0.01,0.01,1.00e+00,1.00e+00
93,76,1,0.0099,0.0099,2.65e-01,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
94,76,0,0.0099,0.0099,1.00e+00,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
95,78,2,0.0099,0.0099,1.22e-01,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
96,79,1,0.0099,0.0099,2.65e-01,1.00e+00,106,0,0.01,0.01,1.00e+00,1.00e+00
97,79,0,0.0099,0.0099,1.00e+00,1.00e+00,107,0,0.01,0.01,1.00e+00,1.00e+00
98,79,0,0.0099,0.0099,1.00e+00,1.00e+00,107,2,0.019,0.019,1.60e-01,1.00e+00
99,78,0,0.0099,0.0099,1.00e+00,1.00e+00,105,2,0.019,0.019,1.60e-01,1.00e+00
100,78,0,0.0099,0.0099,1.00e+00,1.00e+00,103,0,0.01,0.01,1.00e+00,1.00e+00
101,77,0,0.0099,0.0099,1.00e+00,1.00e+00,104,4,0.038,0.038,5.39e-02,1.00e+00
102,76,0,0.0099,0.0099,1.00e+00,1.00e+00,100,1,0.01,0.01,2.94e-01,1.00e+00
103,75,2,0.0099,0.0099,1.22e-01,1.00e+00,99,0,0.01,0.01,1.00e+00,1.00e+00
104,75,0,0.0099,0.0099,1.00e+00,1.00e+00,99,0,0.01,0.01,1.00e+00,1.00e+00
105,75,0,0.0099,0.0099,1.00e+00,1.00e+00,99,3,0.03,0.03,9.17e-02,1.00e+00
106,75,0,0.0099,0.0099,1.00e+00,1.00e+00,96,0,0.01,0.01,1.00e+00,1.00e+00
107,75,0,0.0099,0.0099,1.00e+00,1.00e+00,96,0,0.01,0.01,1.00e+00,1.00e+00
108,76,1,0.0099,0.0099,2.65e-01,1.00e+00,96,0,0.01,0.01,1.00e+00,1.00e+00
109,76,0,0.0099,0.0099,1.00e+00,1.00e+00,96,3,0.031,0.031,9.17e-02,1.00e+00
110,75,0,0.0099,0.0099,1.00e+00,1.00e+00,94,0,0.01,0.01,1.00e+00,1.00e+00
111,77,3,0.0099,0.0099,6.28e-02,1.00e+00,95,9,0.095,0.095,4.31e-03,1.00e+00
112,74,0,0.0099,0.0099,1.00e+00,1.00e+00,86,0,0.01,0.01,1.00e+00,1.00e+00
113,74,0,0.0099,0.0099,1.00e+00,1.00e+00,86,1,0.01,0.01,2.94e-01,1.00e+00
114,73,0,0.0099,0.0099,1.00e+00,1.00e+00,86,0,0.01,0.01,1.00e+00,1.00e+00
115,73,0,0.0099,0.0099,1.00e+00,1.00e+00,89,0,0.01,0.01,1.00e+00,1.00e+00
116,70,0,0.0099,0.0099,1.00e+00,1.00e+00,93,1,0.011,0.011,2.94e-01,1.00e+00
117,70,0,0.0099,0.0099,1.00e+00,1.00e+00,92,0,0.01,0.01,1.00e+00,1.00e+00
118,67,0,0.0099,0.0099,1.00e+00,1.00e+00,92,0,0.01,0.01,1.00e+00,1.00e+00
119,65,0,0.0099,0.0099,1.00e+00,1.00e+00,94,0,0.01,0.01,1.00e+00,1.00e+00
120,71,6,0.0099,0.0099,1.08e-02,1.00e+00,94,1,0.011,0.011,2.94e-01,1.00e+00
121,71,0,0.0099,0.0099,1.00e+00,1.00e+00,93,0,0.01,0.01,1.00e+00,1.00e+00
122,71,0,0.0099,0.0099,1.00e+00,1.00e+00,93,0,0.01,0.01,1.00e+00,1.00e+00
123,70,0,0.0099,0.0099,1.00e+00,1.00e+00,93,0,0.01,0.01,1.00e+00,1.00e+00
124,70,0,0.0099,0.0099,1.00e+00,1.00e+00,96,0,0.01,0.01,1.00e+00,1.00e+00
125,71,1,0.0099,0.0099,2.65e-01,1.00e+00,97,1,0.01,0.01,2.94e-01,1.00e+00
126,71,0,0.0099,0.0099,1.00e+00,1.00e+00,97,1,0.01,0.01,2.94e-01,1.00e+00
127,71,0,0.0099,0.0099,1.00e+00,1.00e+00,96,0,0.01,0.01,1.00e+00,1.00e+00
128,64,0,0.0099,0.0099,1.00e+00,1.00e+00,96,6,0.062,0.062,1.93e-02,1.00e+00
129,64,0,0.0099,0.0099,1.00e+00,1.00e+00,90,1,0.011,0.011,2.94e-01,1.00e+00
130,65,1,0.0099,0.0099,2.65e-01,1.00e+00,90,2,0.022,0.022,1.60e-01,1.00e+00
131,68,3,0.0099,0.0099,6.28e-02,1.00e+00,88,0,0.01,0.01,1.00e+00,1.00e+00
132,66,0,0.0099,0.0099,1.00e+00,1.00e+00,91,0,0.01,0.01,1.00e+00,1.00e+00
133,66,0,0.0099,0.0099,1.00e+00,1.00e+00,91,2,0.022,0.022,1.60e-01,1.00e+00
134,64,0,0.0099,0.0099,1.00e+00,1.00e+00,89,0,0.01,0.01,1.00e+00,1.00e+00
135,63,0,0.0099,0.0099,1.00e+00,1.00e+00,89,0,0.01,0.01,1.00e+00,1.00e+00
136,63,0,0.0099,0.0099,1.00e+00,1.00e+00,92,0,0.01,0.01,1.00e+00,1.00e+00
137,63,0,0.0099,0.0099,1.00e+00,1.00e+00,92,0,0.01,0.01,1.00e+00,1.00e+00
138,65,2,0.0099,0.0099,1.22e-01,1.00e+00,92,0,0.01,0.01,1.00e+00,1.00e+00
139,65,0,0.0099,0.0099,1.00e+00,1.00e+00,93,5,0.054,0.054,3.21e-02,1.00e+00
140,65,0,0.0099,0.0099,1.00e+00,1.00e+00,88,4,0.01,0.01,5.39e-02,1.00e+00
141,65,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
142,65,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
143,65,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
144,65,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
145,65,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
146,65,1,0.0099,0.0099,2.65e-01,1.00e+00,85,2,0.01,0.01,1.60e-01,1.00e+00
147,65,0,0.0099,0.0099,1.00e+00,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
148,66,1,0.0099,0.0099,2.65e-01,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
149,66,0,0.0099,0.0099,1.00e+00,1.00e+00,84,0,0.01,0.01,1.00e+00,1.00e+00
150,66,0,0.0099,0.0099,1.00e+00,1.00e+00,84,0,0.01,0.01,1.00e+00,1.00e+00
151,66,0,0.0099,0.0099,1.00e+00,1.00e+00,85,1,0.01,0.01,2.94e-01,1.00e+00
152,68,2,0.0099,0.0099,1.22e-01,1.00e+00,88,0,0.01,0.01,1.00e+00,1.00e+00
153,68,0,0.0099,0.0099,1.00e+00,1.00e+00,88,0,0.01,0.01,1.00e+00,1.00e+00
154,68,0,0.0099,0.0099,1.00e+00,1.00e+00,88,1,0.01,0.01,2.94e-01,1.00e+00
155,68,0,0.0099,0.0099,1.00e+00,1.00e+00,88,1,0.01,0.01,2.94e-01,1.00e+00
156,67,0,0.0099,0.0099,1.00e+00,1.00e+00,87,2,0.01,0.01,1.60e-01,1.00e+00
157,67,0,0.0099,0.0099,1.00e+00,1.00e+00,86,0,0.01,0.01,1.00e+00,1.00e+00
158,66,1,0.0099,0.0099,2.65e-01,1.00e+00,87,0,0.01,0.01,1.00e+00,1.00e+00
159,67,1,0.0099,0.0099,2.65e-01,1.00e+00,87,0,0.01,0.01,1.00e+00,1.00e+00
160,68,2,0.0099,0.0099,1.22e-01,1.00e+00,87,2,0.01,0.01,1.60e-01,1.00e+00
161,68,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
162,68,0,0.0099,0.0099,1.00e+00,1.00e+00,85,2,0.01,0.01,1.60e-01,1.00e+00
163,68,0,0.0099,0.0099,1.00e+00,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
164,68,0,0.0099,0.0099,1.00e+00,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
165,67,0,0.0099,0.0099,1.00e+00,1.00e+00,83,2,0.01,0.01,1.60e-01,1.00e+00
166,67,0,0.0099,0.0099,1.00e+00,1.00e+00,81,1,0.01,0.01,2.94e-01,1.00e+00
167,68,3,0.0099,0.0099,6.28e-02,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
168,68,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
169,68,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
170,68,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
171,68,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
172,68,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
173,71,3,0.0099,0.0099,6.28e-02,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
174,71,1,0.0099,0.0099,2.65e-01,1.00e+00,82,1,0.01,0.01,2.94e-01,1.00e+00
175,71,0,0.0099,0.0099,1.00e+00,1.00e+00,81,5,0.01,0.01,3.21e-02,1.00e+00
176,71,0,0.0099,0.0099,1.00e+00,1.00e+00,76,1,0.01,0.01,2.94e-01,1.00e+00
177,75,4,0.0099,0.0099,3.41e-02,1.00e+00,75,0,0.01,0.01,1.00e+00,1.00e+00
178,74,1,0.0099,0.0099,2.65e-01,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
179,74,0,0.0099,0.0099,1.00e+00,1.00e+00,78,2,0.01,0.01,1.60e-01,1.00e+00
180,74,0,0.0099,0.0099,1.00e+00,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
181,73,0,0.0099,0.0099,1.00e+00,1.00e+00,76,1,0.01,0.01,2.94e-01,1.00e+00
182,73,0,0.0099,0.0099,1.00e+00,1.00e+00,77,0,0.01,0.01,1.00e+00,1.00e+00
183,73,0,0.0099,0.0099,1.00e+00,1.00e+00,77,0,0.01,0.01,1.00e+00,1.00e+00
184,73,0,0.0099,0.0099,1.00e+00,1.00e+00,77,0,0.01,0.01,1.00e+00,1.00e+00
185,72,1,0.0099,0.0099,2.65e-01,1.00e+00,77,1,0.01,0.01,2.94e-01,1.00e+00
186,71,0,0.0099,0.0099,1.00e+00,1.00e+00,76,1,0.01,0.01,2.94e-01,1.00e+00
187,71,0,0.0099,0.0099,1.00e+00,1.00e+00,75,0,0.01,0.01,1.00e+00,1.00e+00
188,71,0,0.0099,0.0099,1.00e+00,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
189,71,0,0.0099,0.0099,1.00e+00,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
190,65,0,0.0099,0.0099,1.00e+00,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
191,65,0,0.0099,0.0099,1.00e+00,1.00e+00,78,0,0.01,0.01,1.00e+00,1.00e+00
192,65,1,0.0099,0.0099,2.65e-01,1.00e+00,78,0,0.01,0.01,1.00e+00,1.00e+00
193,65,0,0.0099,0.0099,1.00e+00,1.00e+00,78,3,0.01,0.01,9.17e-02,1.00e+00
194,59,0,0.0099,0.0099,1.00e+00,1.00e+00,75,0,0.01,0.01,1.00e+00,1.00e+00
195,59,0,0.0099,0.0099,1.00e+00,1.00e+00,77,1,0.01,0.01,2.94e-01,1.00e+00
196,57,1,0.0099,0.0099,2.65e-01,1.00e+00,76,0,0.01,0.01,1.00e+00,1.00e+00
197,59,2,0.0099,0.0099,1.22e-01,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
198,61,2,0.0099,0.0099,1.22e-01,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
199,61,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
200,61,0,0.0099,0.0099,1.00e+00,1.00e+00,84,2,0.01,0.01,1.60e-01,1.00e+00
201,61,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
202,61,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
203,67,6,0.0099,0.0099,1.08e-02,1.00e+00,84,0,0.01,0.01,1.00e+00,1.00e+00
204,67,0,0.0099,0.0099,1.00e+00,1.00e+00,85,2,0.01,0.01,1.60e-01,1.00e+00
205,67,0,0.0099,0.0099,1.00e+00,1.00e+00,84,6,0.01,0.01,1.93e-02,1.00e+00
206,70,3,0.0099,0.0099,6.28e-02,1.00e+00,78,4,0.01,0.01,5.39e-02,1.00e+00
207,66,0,0.0099,0.0099,1.00e+00,1.00e+00,78,0,0.01,0.01,1.00e+00,1.00e+00
208,68,2,0.0099,0.0099,1.22e-01,1.00e+00,79,0,0.01,0.01,1.00e+00,1.00e+00
209,68,0,0.0099,0.0099,1.00e+00,1.00e+00,79,1,0.01,0.01,2.94e-01,1.00e+00
210,68,0,0.0099,0.0099,1.00e+00,1.00e+00,78,0,0.01,0.01,1.00e+00,1.00e+00
211,67,0,0.0099,0.0099,1.00e+00,1.00e+00,78,5,0.01,0.01,3.21e-02,1.00e+00
212,67,0,0.0099,0.0099,1.00e+00,1.00e+00,75,0,0.01,0.01,1.00e+00,1.00e+00
213,68,1,0.0099,0.0099,2.65e-01,1.00e+00,75,1,0.01,0.01,2.94e-01,1.00e+00
214,70,2,0.0099,0.0099,1.22e-01,1.00e+00,74,1,0.01,0.01,2.94e-01,1.00e+00
215,70,0,0.0099,0.0099,1.00e+00,1.00e+00,73,0,0.01,0.01,1.00e+00,1.00e+00
216,73,3,0.0099,0.0099,6.28e-02,1.00e+00,73,0,0.01,0.01,1.00e+00,1.00e+00
217,73,0,0.0099,0.0099,1.00e+00,1.00e+00,73,0,0.01,0.01,1.00e+00,1.00e+00
218,73,1,0.0099,0.0099,2.65e-01,1.00e+00,73,0,0.01,0.01,1.00e+00,1.00e+00
219,72,0,0.0099,0.0099,1.00e+00,1.00e+00,74,0,0.01,0.01,1.00e+00,1.00e+00
220,72,0,0.0099,0.0099,1.00e+00,1.00e+00,74,0,0.01,0.01,1.00e+00,1.00e+00
221,72,0,0.0099,0.0099,1.00e+00,1.00e+00,74,0,0.01,0.01,1.00e+00,1.00e+00
222,72,0,0.0099,0.0099,1.00e+00,1.00e+00,80,0,0.01,0.01,1.00e+00,1.00e+00
223,71,1,0.0099,0.0099,2.65e-01,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
224,71,0,0.0099,0.0099,1.00e+00,1.00e+00,83,1,0.01,0.01,2.94e-01,1.00e+00
225,71,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
226,71,1,0.0099,0.0099,2.65e-01,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
227,70,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
228,71,1,0.0099,0.0099,2.65e-01,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
229,71,0,0.0099,0.0099,1.00e+00,1.00e+00,83,1,0.01,0.01,2.94e-01,1.00e+00
230,71,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
231,72,1,0.0099,0.0099,2.65e-01,1.00e+00,82,1,0.01,0.01,2.94e-01,1.00e+00
232,72,0,0.0099,0.0099,1.00e+00,1.00e+00,81,0,0.01,0.01,1.00e+00,1.00e+00
233,72,1,0.0099,0.0099,2.65e-01,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
234,72,0,0.0099,0.0099,1.00e+00,1.00e+00,82,0,0.01,0.01,1.00e+00,1.00e+00
235,72,0,0.0099,0.0099,1.00e+00,1.00e+00,84,0,0.01,0.01,1.00e+00,1.00e+00
236,72,0,0.0099,0.0099,1.00e+00,1.00e+00,84,1,0.01,0.01,2.94e-01,1.00e+00
237,73,1,0.0099,0.0099,2.65e-01,1.00e+00,83,1,0.01,0.01,2.94e-01,1.00e+00
238,73,1,0.0099,0.0099,2.65e-01,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
239,73,0,0.0099,0.0099,1.00e+00,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
240,73,0,0.0099,0.0099,1.00e+00,1.00e+00,83,0,0.01,0.01,1.00e+00,1.00e+00
241,69,0,0.0099,0.0099,1.00e+00,1.00e+00,86,1,0.01,0.01,2.94e-01,1.00e+00
242,69,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
243,69,0,0.0099,0.0099,1.00e+00,1.00e+00,86,0,0.01,0.01,1.00e+00,1.00e+00
244,69,0,0.0099,0.0099,1.00e+00,1.00e+00,87,0,0.01,0.01,1.00e+00,1.00e+00
245,69,0,0.0099,0.0099,1.00e+00,1.00e+00,87,3,0.01,0.01,9.17e-02,1.00e+00
246,68,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
247,68,0,0.0099,0.0099,1.00e+00,1.00e+00,85,0,0.01,0.01,1.00e+00,1.00e+00
